t (sec),x,y,z
0.05,-0.29,-0.09,-0.32
0.05,-0.45,-0.11,-0.51
0.1,-0.53,-0.14,-0.59
0.15000000000000002,-0.56,-0.17,-0.6
0.2,-0.59,-0.18,-0.62
0.25,-0.61,-0.18,-0.64
0.3,-0.62,-0.17,-0.66
0.35,-0.61,-0.19,-0.66
0.39999999999999997,-0.6,-0.19,-0.66
0.44999999999999996,-0.61,-0.21,-0.64
0.49999999999999994,-0.61,-0.22,-0.64
0.5499999999999999,-0.62,-0.22,-0.65
0.6,-0.62,-0.23,-0.65
0.65,-0.64,-0.25,-0.64
0.7000000000000001,-0.63,-0.26,-0.63
0.7500000000000001,-0.61,-0.29,-0.62
0.8000000000000002,-0.62,-0.29,-0.6
0.8500000000000002,-0.61,-0.31,-0.65
0.9000000000000002,-0.65,-0.37,-0.67
0.9500000000000003,-0.7,-0.39,-0.68
1.0000000000000002,-0.7,-0.42,-0.68
1.0500000000000003,-0.69,-0.48,-0.68
1.1000000000000003,-0.69,-0.56,-0.67
1.1500000000000004,-0.68,-0.64,-0.61
1.2000000000000004,-0.69,-0.71,-0.59
1.2500000000000004,-0.61,-0.69,-0.62
1.3000000000000005,-0.56,-0.75,-0.6
1.3500000000000005,-0.52,-0.82,-0.57
1.4000000000000006,-0.43,-0.84,-0.56
1.4500000000000006,-0.36,-0.86,-0.46
1.5000000000000007,-0.19,-0.83,-0.43
1.5500000000000007,-0.1,-0.78,-0.44
1.6000000000000008,0.09,-0.77,-0.4
1.6500000000000008,0.21,-0.79,-0.3
1.7000000000000008,0.37,-0.7,-0.19
1.7500000000000009,0.5,-0.62,-0.13
1.800000000000001,0.66,-0.56,-0.16
1.850000000000001,0.88,-0.54,0.0
1.900000000000001,0.92,-0.47,-0.05
1.950000000000001,0.9,-0.59,-0.02
2.000000000000001,0.77,-0.55,-0.02
2.0500000000000007,0.76,-0.61,-0.1
2.1000000000000005,0.44,-0.62,-0.18
2.1500000000000004,0.54,-0.66,-0.25
2.2,0.26,-0.65,-0.23
2.25,0.24,-0.85,-0.27
2.3,-0.01,-0.83,-0.25
2.3499999999999996,0.06,-0.7,-0.25
2.3999999999999995,-0.36,-0.72,-0.16
2.4499999999999993,-0.48,-0.65,-0.25
2.499999999999999,-0.75,-0.61,-0.22
2.549999999999999,-0.9,-0.66,-0.45
2.5999999999999988,-0.99,-0.61,-0.36
2.6499999999999986,-0.83,-0.37,-0.53
2.6999999999999984,-0.87,-0.26,-0.62
2.7499999999999982,-0.9,-0.22,-0.65
2.799999999999998,-0.97,-0.14,-0.58
2.849999999999998,-0.8,-0.02,-0.53
2.8999999999999977,-0.95,-0.06,-0.57
2.9499999999999975,-0.88,-0.03,-0.53
2.9999999999999973,-0.88,0.08,-0.62
3.049999999999997,-0.84,0.07,-0.54
3.099999999999997,-0.84,0.12,-0.58
3.149999999999997,-0.77,0.1,-0.53
3.1999999999999966,-0.83,0.08,-0.64
3.2499999999999964,-0.94,0.01,-0.64
3.2999999999999963,-0.9,-0.07,-0.75
3.349999999999996,-0.84,-0.14,-0.72
3.399999999999996,-0.79,-0.26,-0.72
3.4499999999999957,-0.75,-0.37,-0.68
3.4999999999999956,-0.67,-0.44,-0.68
3.5499999999999954,-0.6,-0.55,-0.57
3.599999999999995,-0.42,-0.6,-0.59
3.649999999999995,-0.28,-0.59,-0.55
3.699999999999995,-0.1,-0.62,-0.53
3.7499999999999947,-0.1,-0.7,-0.54
3.7999999999999945,0.06,-0.71,-0.42
3.8499999999999943,0.15,-0.59,-0.45
3.899999999999994,0.28,-0.56,-0.4
3.949999999999994,0.39,-0.54,-0.47
3.999999999999994,0.42,-0.63,-0.47
4.049999999999994,0.47,-0.6,-0.5
4.099999999999993,0.43,-0.64,-0.54
4.149999999999993,0.45,-0.68,-0.61
4.199999999999993,0.29,-0.77,-0.64
4.249999999999993,0.38,-0.8,-0.56
4.299999999999993,0.25,-0.78,-0.58
4.3499999999999925,0.37,-0.6,-0.31
4.399999999999992,0.23,-0.5,-0.34
4.449999999999992,0.06,-0.55,-0.22
4.499999999999992,-0.01,-0.27,-0.27
4.549999999999992,-0.3,-0.31,-0.34
4.599999999999992,-0.52,-0.18,-0.37
4.6499999999999915,-0.86,-0.18,-0.48
4.699999999999991,-0.95,-0.14,-0.53
4.749999999999991,-1.25,-0.14,-0.6
4.799999999999991,-1.04,0.04,-0.56
4.849999999999991,-1.02,0.06,-0.58
4.899999999999991,-0.9,0.14,-0.54
4.94999999999999,-0.82,0.13,-0.39
4.99999999999999,-0.81,0.15,-0.39
5.04999999999999,-0.8,0.16,-0.4
5.09999999999999,-1.11,0.12,-0.52
5.14999999999999,-1.11,0.14,-0.58
5.1999999999999895,-1.09,0.1,-0.62
5.249999999999989,-1.01,0.07,-0.64
5.299999999999989,-1.04,-0.04,-0.66
5.349999999999989,-1.0,-0.17,-0.6
5.399999999999989,-1.07,-0.34,-0.54
5.449999999999989,-0.86,-0.43,-0.45
5.4999999999999885,-0.79,-0.53,-0.3
5.549999999999988,-0.51,-0.53,-0.27
5.599999999999988,-0.42,-0.56,-0.37
5.649999999999988,-0.25,-0.61,-0.4
5.699999999999988,-0.18,-0.65,-0.51
5.749999999999988,0.01,-0.58,-0.42
5.799999999999987,-0.03,-0.65,-0.49
5.849999999999987,-0.02,-0.72,-0.67
5.899999999999987,0.05,-0.79,-0.62
5.949999999999987,0.14,-0.75,-0.61
5.999999999999987,0.19,-0.75,-0.58
6.0499999999999865,0.27,-0.75,-0.52
6.099999999999986,0.4,-0.74,-0.44
6.149999999999986,0.47,-0.65,-0.37
6.199999999999986,0.45,-0.67,-0.31
6.249999999999986,0.43,-0.7,-0.25
6.299999999999986,0.44,-0.6,-0.18
6.349999999999985,0.09,-0.59,-0.23
6.399999999999985,-0.02,-0.45,-0.32
6.449999999999985,-0.27,-0.38,-0.36
6.499999999999985,-0.52,-0.27,-0.76
6.549999999999985,-0.64,-0.15,-0.55
6.5999999999999845,-0.75,-0.05,-0.87
6.649999999999984,-0.44,0.13,-1.01
6.699999999999984,-0.49,0.2,-1.07
6.749999999999984,-0.34,0.28,-1.05
6.799999999999984,-0.41,0.31,-1.01
6.849999999999984,-0.42,0.33,-0.95
6.8999999999999835,-0.42,0.35,-0.9
6.949999999999983,-0.43,0.37,-0.91
6.999999999999983,-0.4,0.32,-0.92
7.049999999999983,-0.4,0.29,-0.93
7.099999999999983,-0.4,0.26,-0.91
7.149999999999983,-0.36,0.27,-0.9
7.199999999999982,-0.4,0.27,-0.96
7.249999999999982,-0.42,0.23,-1.03
7.299999999999982,-0.46,0.19,-1.06
7.349999999999982,-0.45,0.14,-1.03
7.399999999999982,-0.47,0.07,-1.04
7.4499999999999815,-0.47,-0.01,-1.04
7.499999999999981,-0.48,-0.15,-1.01
7.549999999999981,-0.44,-0.25,-0.96
7.599999999999981,-0.39,-0.34,-0.94
7.649999999999981,-0.35,-0.4,-0.87
7.699999999999981,-0.26,-0.48,-0.87
7.7499999999999805,-0.2,-0.56,-0.77
7.79999999999998,-0.05,-0.66,-0.73
7.84999999999998,0.07,-0.61,-0.52
7.89999999999998,0.57,-0.33,-0.22
7.94999999999998,0.69,-0.4,-0.19
7.99999999999998,0.82,-0.42,-0.14
8.04999999999998,0.81,-0.46,-0.15
8.09999999999998,0.88,-0.51,-0.12
8.14999999999998,0.74,-0.56,-0.16
8.199999999999982,0.78,-0.56,-0.12
8.249999999999982,0.61,-0.53,-0.14
8.299999999999983,0.56,-0.5,-0.28
8.349999999999984,0.23,-0.61,-0.49
8.399999999999984,0.13,-0.69,-0.53
8.449999999999985,-0.02,-0.79,-0.71
8.499999999999986,-0.1,-0.75,-0.54
8.549999999999986,-0.24,-0.78,-0.76
8.599999999999987,-0.09,-0.62,-0.72
8.649999999999988,-0.31,-0.54,-0.76
8.699999999999989,-0.19,-0.46,-0.9
8.74999999999999,-0.41,-0.45,-0.86
8.79999999999999,-0.35,-0.32,-0.84
8.84999999999999,-0.39,-0.21,-0.89
8.899999999999991,-0.42,-0.1,-0.85
8.949999999999992,-0.46,-0.04,-0.93
8.999999999999993,-0.5,-0.03,-0.92
9.049999999999994,-0.53,-0.02,-0.92
9.099999999999994,-0.53,-0.01,-0.87
9.149999999999995,-0.53,0.03,-0.88
9.199999999999996,-0.52,0.06,-0.82
9.249999999999996,-0.56,0.06,-0.86
9.299999999999997,-0.57,0.06,-0.86
9.349999999999998,-0.57,0.04,-0.88
9.399999999999999,-0.58,0.02,-0.9
9.45,-0.57,-0.01,-0.9
9.5,-0.6,-0.06,-0.92
9.55,-0.58,-0.09,-0.91
9.600000000000001,-0.58,-0.15,-0.95
9.650000000000002,-0.55,-0.21,-0.93
9.700000000000003,-0.51,-0.29,-0.92
9.750000000000004,-0.47,-0.37,-0.87
9.800000000000004,-0.39,-0.43,-0.87
9.850000000000005,-0.29,-0.51,-0.81
9.900000000000006,-0.18,-0.57,-0.75
9.950000000000006,-0.09,-0.63,-0.75
10.000000000000007,0.07,-0.69,-0.67
10.050000000000008,0.09,-0.7,-0.59
10.100000000000009,0.27,-0.68,-0.5
10.15000000000001,0.39,-0.63,-0.47
10.20000000000001,0.53,-0.65,-0.46
10.25000000000001,0.6,-0.54,-0.38
10.300000000000011,0.79,-0.47,-0.31
10.350000000000012,0.82,-0.41,-0.24
10.400000000000013,0.92,-0.4,-0.22
10.450000000000014,0.93,-0.36,-0.16
10.500000000000014,0.92,-0.43,-0.18
10.550000000000015,0.9,-0.4,-0.19
10.600000000000016,0.88,-0.45,-0.17
10.650000000000016,0.76,-0.47,-0.23
10.700000000000017,0.63,-0.53,-0.32
10.750000000000018,0.48,-0.6,-0.41
10.800000000000018,0.39,-0.66,-0.58
10.85000000000002,0.26,-0.68,-0.53
10.90000000000002,0.21,-0.63,-0.78
10.95000000000002,0.25,-0.57,-0.79
11.000000000000021,0.04,-0.5,-0.8
11.050000000000022,0.14,-0.4,-0.99
11.100000000000023,-0.05,-0.35,-0.84
11.150000000000023,-0.04,-0.22,-1.02
11.200000000000024,-0.2,-0.19,-0.96
11.250000000000025,-0.25,-0.08,-0.97
11.300000000000026,-0.41,-0.03,-0.95
11.350000000000026,-0.45,0.07,-0.86
11.400000000000027,-0.53,0.13,-0.85
11.450000000000028,-0.53,0.2,-0.78
11.500000000000028,-0.6,0.27,-0.83
11.55000000000003,-0.61,0.29,-0.87
11.60000000000003,-0.63,0.28,-0.9
11.65000000000003,-0.61,0.26,-0.82
11.700000000000031,-0.61,0.25,-0.82
11.750000000000032,-0.62,0.26,-0.84
11.800000000000033,-0.66,0.22,-0.88
11.850000000000033,-0.66,0.21,-0.92
11.900000000000034,-0.7,0.17,-0.96
11.950000000000035,-0.67,0.12,-0.95
12.000000000000036,-0.66,0.04,-0.96
12.050000000000036,-0.58,-0.05,-0.94
12.100000000000037,-0.55,-0.17,-0.97
12.150000000000038,-0.41,-0.28,-0.87
12.200000000000038,-0.33,-0.39,-0.85
12.250000000000039,-0.16,-0.43,-0.71
12.30000000000004,-0.01,-0.45,-0.62
12.35000000000004,0.16,-0.41,-0.56
12.400000000000041,0.34,-0.46,-0.54
12.450000000000042,0.42,-0.46,-0.56
12.500000000000043,0.57,-0.47,-0.55
12.550000000000043,0.65,-0.41,-0.5
12.600000000000044,0.83,-0.43,-0.46
12.650000000000045,0.82,-0.39,-0.42
12.700000000000045,0.88,-0.36,-0.31
12.750000000000046,0.94,-0.29,-0.24
12.800000000000047,0.96,-0.31,-0.24
12.850000000000048,0.86,-0.34,-0.32
12.900000000000048,0.87,-0.4,-0.38
12.950000000000049,0.63,-0.43,-0.4
13.00000000000005,0.56,-0.43,-0.42
13.05000000000005,0.38,-0.43,-0.43
13.100000000000051,0.24,-0.47,-0.67
13.150000000000052,0.15,-0.54,-0.72
13.200000000000053,-0.03,-0.6,-0.63
13.250000000000053,-0.1,-0.58,-0.78
13.300000000000054,-0.13,-0.44,-0.65
13.350000000000055,-0.41,-0.31,-1.03
13.400000000000055,-0.35,-0.19,-0.94
13.450000000000056,-0.5,-0.11,-1.04
13.500000000000057,-0.48,-0.05,-0.9
13.550000000000058,-0.51,0.02,-0.9
13.600000000000058,-0.56,0.04,-0.85
13.650000000000059,-0.58,0.1,-0.8
13.70000000000006,-0.61,0.14,-0.76
13.75000000000006,-0.66,0.16,-0.83
13.800000000000061,-0.67,0.17,-0.92
13.850000000000062,-0.68,0.13,-0.9
13.900000000000063,-0.68,0.12,-0.91
13.950000000000063,-0.7,0.09,-0.94
14.000000000000064,-0.74,0.04,-0.94
14.050000000000065,-0.7,-0.0,-0.92
14.100000000000065,-0.68,-0.08,-0.91
14.150000000000066,-0.59,-0.14,-0.89
14.200000000000067,-0.53,-0.22,-0.86
14.250000000000068,-0.41,-0.29,-0.87
14.300000000000068,-0.35,-0.38,-0.82
14.350000000000069,-0.22,-0.47,-0.78
14.40000000000007,-0.12,-0.52,-0.71
14.45000000000007,0.06,-0.54,-0.63
14.500000000000071,0.09,-0.55,-0.64
14.550000000000072,0.28,-0.5,-0.57
14.600000000000072,0.4,-0.51,-0.56
14.650000000000073,0.54,-0.48,-0.52
14.700000000000074,0.66,-0.42,-0.45
14.750000000000075,0.76,-0.38,-0.41
14.800000000000075,0.86,-0.35,-0.38
14.850000000000076,0.86,-0.36,-0.37
14.900000000000077,0.88,-0.39,-0.34
14.950000000000077,0.84,-0.44,-0.38
15.000000000000078,0.75,-0.43,-0.4
15.050000000000079,0.64,-0.45,-0.42
15.10000000000008,0.54,-0.44,-0.55
15.15000000000008,0.44,-0.46,-0.51
15.200000000000081,0.34,-0.38,-0.74
15.250000000000082,0.22,-0.4,-0.75
15.300000000000082,0.1,-0.37,-0.8
15.350000000000083,0.09,-0.25,-0.92
15.400000000000084,0.02,-0.16,-0.84
15.450000000000085,-0.08,-0.03,-0.94
15.500000000000085,-0.25,0.05,-1.04
15.550000000000086,-0.27,0.05,-1.0
15.600000000000087,-0.37,0.07,-1.0
15.650000000000087,-0.41,0.02,-0.94
15.700000000000088,-0.45,0.05,-0.93
15.750000000000089,-0.5,0.08,-0.83
15.80000000000009,-0.55,0.08,-0.87
15.85000000000009,-0.57,0.1,-0.82
15.900000000000091,-0.61,0.09,-0.81
15.950000000000092,-0.61,0.08,-0.79
16.000000000000092,-0.6,0.07,-0.89
16.050000000000093,-0.59,0.04,-0.91
16.100000000000094,-0.62,0.0,-0.91
16.150000000000095,-0.63,0.0,-0.93
16.200000000000095,-0.62,-0.01,-0.96
16.250000000000096,-0.64,-0.03,-0.99
16.300000000000097,-0.63,-0.11,-0.96
16.350000000000097,-0.58,-0.18,-0.99
16.400000000000098,-0.5,-0.26,-0.93
16.4500000000001,-0.36,-0.34,-0.78
16.5000000000001,-0.35,-0.37,-0.87
16.5500000000001,-0.1,-0.29,-0.9
16.6000000000001,0.05,-0.29,-0.83
16.6500000000001,0.15,-0.33,-0.76
16.700000000000102,0.25,-0.39,-0.66
16.750000000000103,0.3,-0.46,-0.63
16.800000000000104,0.34,-0.49,-0.63
16.850000000000104,0.47,-0.47,-0.57
16.900000000000105,0.53,-0.48,-0.55
16.950000000000106,0.68,-0.48,-0.43
17.000000000000107,0.69,-0.49,-0.37
17.050000000000107,0.82,-0.46,-0.28
17.100000000000108,0.87,-0.41,-0.29
17.15000000000011,0.84,-0.49,-0.3
17.20000000000011,0.7,-0.49,-0.35
17.25000000000011,0.66,-0.51,-0.32
17.30000000000011,0.57,-0.46,-0.36
17.35000000000011,0.38,-0.4,-0.51
17.400000000000112,0.35,-0.42,-0.78
17.450000000000113,0.34,-0.4,-0.8
17.500000000000114,0.25,-0.23,-0.95
17.550000000000114,0.34,-0.17,-1.1
17.600000000000115,-0.1,-0.15,-0.87
17.650000000000116,-0.09,0.03,-1.19
17.700000000000117,-0.13,0.01,-0.85
17.750000000000117,-0.23,0.15,-1.02
17.800000000000118,-0.25,0.2,-0.93
17.85000000000012,-0.29,0.28,-1.05
17.90000000000012,-0.31,0.27,-0.87
17.95000000000012,-0.29,0.34,-0.9
18.00000000000012,-0.34,0.37,-0.95
18.05000000000012,-0.33,0.39,-0.98
18.100000000000122,-0.38,0.35,-0.9
18.150000000000123,-0.41,0.31,-0.85
18.200000000000124,-0.42,0.29,-0.89
18.250000000000124,-0.47,0.26,-0.9
18.300000000000125,-0.48,0.22,-0.93
18.350000000000126,-0.49,0.22,-0.99
18.400000000000126,-0.47,0.21,-1.02
18.450000000000127,-0.49,0.19,-1.02
18.500000000000128,-0.49,0.14,-1.01
18.55000000000013,-0.43,0.08,-1.03
18.60000000000013,-0.42,0.02,-1.06
18.65000000000013,-0.33,-0.04,-1.04
18.70000000000013,-0.29,-0.13,-0.97
18.75000000000013,-0.12,-0.22,-0.98
18.800000000000132,-0.01,-0.32,-0.8
18.850000000000133,0.06,-0.33,-0.86
18.900000000000134,0.09,-0.26,-0.87
18.950000000000134,0.26,-0.24,-0.7
19.000000000000135,0.41,-0.22,-0.57
19.050000000000136,0.54,-0.29,-0.58
19.100000000000136,0.64,-0.32,-0.53
19.150000000000137,0.7,-0.45,-0.54
19.200000000000138,0.69,-0.46,-0.53
19.25000000000014,0.77,-0.44,-0.46
19.30000000000014,0.74,-0.43,-0.45
19.35000000000014,0.79,-0.44,-0.37
19.40000000000014,0.74,-0.39,-0.38
19.45000000000014,0.74,-0.33,-0.38
19.500000000000142,0.63,-0.34,-0.4
19.550000000000143,0.55,-0.34,-0.56
19.600000000000144,0.36,-0.33,-0.61
19.650000000000144,0.31,-0.26,-0.74
19.700000000000145,0.3,-0.13,-1.03
19.750000000000146,0.25,-0.09,-0.8
19.800000000000146,0.05,0.03,-1.07
19.850000000000147,0.07,0.07,-0.97
19.900000000000148,-0.15,0.12,-1.08
19.95000000000015,-0.1,0.22,-1.01
20.00000000000015,-0.24,0.26,-1.06
20.05000000000015,-0.22,0.27,-0.96
20.10000000000015,-0.33,0.27,-0.85
20.15000000000015,-0.39,0.25,-0.97
20.200000000000152,-0.41,0.21,-1.0
20.250000000000153,-0.44,0.17,-1.0
20.300000000000153,-0.42,0.18,-0.97
20.350000000000154,-0.43,0.16,-0.95
20.400000000000155,-0.43,0.17,-1.01
20.450000000000156,-0.45,0.15,-1.01
20.500000000000156,-0.44,0.12,-0.98
20.550000000000157,-0.43,0.11,-1.01
20.600000000000158,-0.43,0.07,-1.0
20.65000000000016,-0.39,0.04,-1.06
20.70000000000016,-0.33,0.0,-1.06
20.75000000000016,-0.44,-0.08,-1.06
20.80000000000016,-0.39,-0.16,-1.07
20.85000000000016,-0.32,-0.26,-0.93
20.900000000000162,-0.21,-0.32,-0.88
20.950000000000163,-0.07,-0.33,-0.72
21.000000000000163,0.09,-0.32,-0.72
21.050000000000164,0.13,-0.31,-0.79
21.100000000000165,0.3,-0.37,-0.7
21.150000000000166,0.36,-0.46,-0.72
21.200000000000166,0.5,-0.49,-0.66
21.250000000000167,0.53,-0.48,-0.59
21.300000000000168,0.53,-0.46,-0.62
21.35000000000017,0.6,-0.42,-0.64
21.40000000000017,0.68,-0.41,-0.51
21.45000000000017,0.77,-0.38,-0.44
21.50000000000017,0.82,-0.37,-0.36
21.55000000000017,0.76,-0.33,-0.45
21.600000000000172,0.7,-0.3,-0.43
21.650000000000173,0.59,-0.36,-0.43
21.700000000000173,0.42,-0.36,-0.63
21.750000000000174,0.26,-0.38,-0.6
21.800000000000175,0.16,-0.36,-0.83
21.850000000000176,0.13,-0.34,-0.81
21.900000000000176,-0.13,-0.25,-0.96
21.950000000000177,-0.03,-0.19,-0.82
22.000000000000178,-0.33,-0.19,-0.84
22.05000000000018,-0.23,-0.04,-0.95
22.10000000000018,-0.32,0.01,-1.11
22.15000000000018,-0.32,0.07,-1.07
22.20000000000018,-0.33,0.14,-1.01
22.25000000000018,-0.4,0.16,-1.01
22.300000000000182,-0.44,0.15,-1.03
22.350000000000183,-0.43,0.14,-0.99
22.400000000000183,-0.59,0.17,-1.01
22.450000000000184,-0.56,0.16,-0.85
22.500000000000185,-0.65,0.15,-0.79
22.550000000000185,-0.65,0.15,-0.77
22.600000000000186,-0.67,0.13,-0.79
22.650000000000187,-0.72,0.07,-0.83
22.700000000000188,-0.76,-0.0,-0.85
22.75000000000019,-0.75,-0.07,-0.88
22.80000000000019,-0.75,-0.11,-0.91
22.85000000000019,-0.71,-0.22,-0.86
22.90000000000019,-0.64,-0.31,-0.86
22.95000000000019,-0.54,-0.41,-0.82
23.000000000000192,-0.36,-0.51,-0.78
23.050000000000193,-0.26,-0.54,-0.68
23.100000000000193,-0.08,-0.57,-0.69
23.150000000000194,-0.04,-0.68,-0.6
23.200000000000195,0.09,-0.72,-0.47
23.250000000000195,0.2,-0.71,-0.37
23.300000000000196,0.35,-0.69,-0.29
23.350000000000197,0.43,-0.73,-0.2
23.400000000000198,0.58,-0.67,-0.18
23.4500000000002,0.67,-0.63,-0.18
23.5000000000002,0.76,-0.58,-0.1
23.5500000000002,0.89,-0.5,-0.11
23.6000000000002,0.89,-0.52,-0.1
23.6500000000002,0.9,-0.55,-0.13
23.700000000000202,0.84,-0.54,-0.09
23.750000000000203,0.84,-0.51,-0.09
23.800000000000203,0.68,-0.57,-0.12
23.850000000000204,0.73,-0.53,-0.25
23.900000000000205,0.58,-0.52,-0.23
23.950000000000205,0.5,-0.48,-0.47
24.000000000000206,0.38,-0.39,-0.56
24.050000000000207,0.18,-0.35,-0.82
24.100000000000207,0.05,-0.3,-1.16
24.150000000000208,-0.08,-0.35,-0.91
24.20000000000021,-0.06,-0.23,-1.16
24.25000000000021,-0.22,-0.24,-1.09
24.30000000000021,-0.28,-0.13,-1.09
24.35000000000021,-0.22,-0.01,-1.04
24.40000000000021,-0.18,0.09,-1.07
24.450000000000212,-0.29,0.15,-1.1
24.500000000000213,-0.27,0.17,-1.06
24.550000000000214,-0.24,0.23,-1.11
24.600000000000215,-0.21,0.24,-1.08
24.650000000000215,-0.23,0.24,-1.06
24.700000000000216,-0.19,0.27,-1.08
24.750000000000217,-0.23,0.25,-1.11
24.800000000000217,-0.25,0.24,-1.11
24.850000000000218,-0.25,0.24,-1.11
24.90000000000022,-0.22,0.21,-1.14
24.95000000000022,-0.22,0.17,-1.15
25.00000000000022,-0.21,0.08,-1.21
